ID	dnds	low_ci	high_ci	muts	Pvalue
PD36806_41	4.45795167658179	2.54423305885114	7.81112920516497	49	2.78114677906995e-07
PD36806_42	4.45795167658179	2.54423305885114	7.81112920516497	49	2.78114677906995e-07
PD36806_43	4.45795167658179	2.54423305885114	7.81112920516497	49	2.78114677906995e-07
PD36806_44	4.45795167658179	2.54423305885114	7.81112920516497	49	2.78114677906995e-07
PD36806_45	4.45795167658179	2.54423305885114	7.81112920516497	49	2.78114677906995e-07
PD36806_46	4.45795167658179	2.54423305885114	7.81112920516497	49	2.78114677906995e-07
PD36806_47	4.45795167658179	2.54423305885114	7.81112920516497	49	2.78114677906995e-07
PD36806_48	4.45795167658179	2.54423305885114	7.81112920516497	49	2.78114677906995e-07
PD36806_49	4.45795167658179	2.54423305885114	7.81112920516497	49	2.78114677906995e-07
PD36806_50	4.45795167658179	2.54423305885114	7.81112920516497	49	2.78114677906995e-07
PD36806_5	4.47115790039499	2.55176973325703	7.83426996163488	49	2.63923671032178e-07
PD36806_6	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_7	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_8	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_9	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD30273_1	3.06184682046429	1.83837611188221	5.0995581869201	61	2.09713764422298e-05
PD31182_1	3.25101613608802	1.95198992526747	5.41452892778452	61	7.62420139279907e-06
PD30987_1	4.73517871504962	2.9435777705604	7.61723290877765	68	3.78121727004693e-10
PD30986_1	2.70503076531203	1.68924269779751	4.33164011946003	72	4.07184686341379e-05
PD30272_2	1.99438352699616	1.25847681398945	3.16061893913206	82	0.00334768583155233
PD30988_1	3.51805018450456	2.28837052138394	5.40851098414234	85	1.8932553008086e-08
PD30272_10	2.13530724023762	1.37253258902538	3.32198816018562	87	0.000808103390815676
PD30272_11	2.13530724023762	1.37253258902538	3.32198816018562	87	0.000808103390815676
PD30272_12	2.13530724023762	1.37253258902538	3.32198816018562	87	0.000808103390815676
PD30272_13	2.13530724023762	1.37253258902538	3.32198816018562	87	0.000808103390815676
PD30272_14	2.13530724023762	1.37253258902538	3.32198816018562	87	0.000808103390815676
