Cancer_Type_Code	Sample	Aberrant_Cell_Fraction(Purity)	Ploidy
BLCA	TCGA.DK.A1A5.01A.11D.A13V.01	0.56	3.04219956163367
BLCA	TCGA.DK.A1A6.01A.11D.A13V.01	0.73	3.53371905571873
BLCA	TCGA.DK.A1A7.01A.11D.A13V.01	0.66	3.39622340800666
BLCA	TCGA.DK.A1AA.01A.11D.A13V.01	0.82	1.92197978983517
BLCA	TCGA.DK.A1AB.01A.11D.A13V.01	0.56	1.75591869509662
BLCA	TCGA.DK.A1AC.01A.11D.A13V.01	0.63	3.95144706979265
BLCA	TCGA.DK.A1AD.01A.11D.A13V.01	0.63	3.13929209446811
BLCA	TCGA.DK.A1AE.01A.11D.A13V.01	0.83	2.01024502200994
BLCA	TCGA.DK.A1AF.01A.11D.A13V.01	1	2.01487524551902
BLCA	TCGA.DK.A1AG.01A.11D.A13V.01	0.72	3.78610122186145
BLCA	TCGA.DK.A2HX.01A.12D.A18E.01	0.47	4.09034433469552
BLCA	TCGA.DK.A2I1.01A.11D.A17S.01	0.54	3.32680170837366
BLCA	TCGA.DK.A2I2.01A.11D.A17S.01	0.3	3.41649632353146
BLCA	TCGA.DK.A2I4.01A.11D.A219.01	0.26	3.07997880914738
BLCA	TCGA.DK.A2I6.01A.12D.A18E.01	0.46	5.25998110815498
BLCA	TCGA.DK.A3IK.01A.32D.A219.01	0.48	2.95091007937129
BLCA	TCGA.DK.A3IL.01A.11D.A20B.01	0.71	3.20121036641406
BLCA	TCGA.DK.A3IM.01A.11D.A20B.01	0.55	5.24830337126696
BLCA	TCGA.DK.A3IN.01A.11D.A20B.01	0.38	3.64337838610778
BLCA	TCGA.DK.A3IQ.01A.31D.A20B.01	0.36	1.88590425133151
BLCA	TCGA.DK.A3IS.01A.21D.A219.01	0.78	3.71992256675868
BLCA	TCGA.DK.A3IT.01A.31D.A20B.01	0.45	3.39775885631591
BLCA	TCGA.DK.A3IU.01A.11D.A20B.01	0.33	2.21934087341187
BLCA	TCGA.DK.A3IV.01A.22D.A219.01	0.55	1.92714533781807
BLCA	TCGA.DK.A3WW.01A.22D.A23L.01	0.5	1.94754042282859
BLCA	TCGA.DK.A3WX.01A.22D.A22Y.01	0.41	1.87969859677239
BLCA	TCGA.DK.A3WY.01A.11D.A22Y.01	0.4	2.00026544097354
BLCA	TCGA.DK.A3X1.01A.12D.A22Y.01	0.41	3.56978182195797
BLCA	TCGA.DK.A3X2.01A.11D.A22Y.01	0.71	3.32417950695727
